date_and_time, travel_mode, x_acc [m/s^2], y_acc [m/s^2], z_acc [m/s^2], x_grav [m/s^2], y_grav [m/s^2], z_grav [m/s^2], x_lin_acc [m/s^2], y_lin_acc [m/s^2], z_lin_acc [m/s^2], x_gryo [rad/s], y_gyro [rad/s], z_gyro [rad/s], light [lux], x_mag [uT], y_mag [uT], z_mag [uT], x_orient [deg], y_orient [deg], z_orient [deg], prox [cm], sound_lvl [db] 
2014_11_30 15:10:36.531, walking, 0.12258313, -0.23154591, 10.2152605, 0.0960558, -0.2556291, 9.802847, 0.02652733, 0.024083182, 0.4124136, 0.0015271631, -0.011911872, 0.005497787, 100.0, 22.56, 21.539999, 53.699997, -0.7652674, 0.026069865, -0.009798452, 5.0, null 
2014_11_30 15:10:37.131, walking, 0.06810174, -0.24516626, 10.2152605, 0.093503155, -0.24254473, 9.803204, -0.025401413, -0.0026215315, 0.41205692, 0.005192355, -0.007330383, 3.0543262E-4, 100.0, 22.92, 21.779999, 53.64, -0.77006346, 0.024735203, -0.009537731, 5.0, null 
2014_11_30 15:10:37.668, walking, 0.08172209, -0.2860273, 10.119919, 0.09419585, -0.24530861, 9.803129, 0.0011465847, -0.040718704, 0.3576498, 0.007330383, -0.0106901415, -0.0030543262, 100.0, 22.74, 21.06, 53.16, -0.78180283, 0.025017126, -0.009608458, 5.0, null 
2014_11_30 15:10:38.182, walking, 0.12258313, -0.25878662, 10.2152605, 0.09100922, -0.24129295, 9.803259, 0.031573907, -0.017493665, 0.4120016, 0.0030543262, -0.009162978, -0.0021380284, 100.0, 22.14, 21.48, 53.76, -0.7592734, 0.024607517, -0.009283301, 5.0, null 
2014_11_30 15:10:38.783, walking, 0.12258313, -0.27240697, 10.18802, 0.09475888, -0.24572209, 9.803114, 0.027824245, -0.02668488, 0.38490582, 0.01038471, -0.009468411, -0.002443461, 100.0, 21.9, 22.08, 54.0, -0.73958296, 0.0250593, -0.009665901, 5.0, null 
2014_11_30 15:10:39.384, walking, 0.12258313, -0.25878662, 10.160779, 0.097186565, -0.24449097, 9.80312, 0.025396563, -0.0142956525, 0.35765934, 0.009468411, -0.009468411, -0.0033597588, 100.0, 22.38, 21.66, 53.579998, -0.75982964, 0.024933724, -0.009913516, 5.0, null 
2014_11_30 15:10:39.924, walking, 0.10896278, -0.2860273, 10.160779, 0.096017994, -0.2407047, 9.8032255, -6.7555904E-4, -0.018081918, 0.28945255, 0.008552114, -0.008857546, 0.0015271631, 100.0, 21.96, 21.539999, 53.579998, -0.7533537, 0.024547514, -0.009794218, 5.0, null 
2014_11_30 15:10:40.436, walking, 0.10896278, -0.24516626, 10.133538, 0.09460322, -0.23585977, 9.803356, 0.014359564, -0.00930649, 0.33018208, 0.005192355, -0.009468411, 0.0012217305, 100.0, 22.26, 21.6, 53.52, -0.75978, 0.024053322, -0.009649785, 5.0, null 
2014_11_30 15:10:41.035, walking, 0.08172209, -0.24516626, 10.2152605, 0.09553746, -0.24293292, 9.803176, -0.013815373, -0.0022333413, 0.41208458, 0.01038471, -0.0076358155, 0.0015271631, 100.0, 22.92, 21.24, 53.76, -0.781491, 0.024774795, -0.009745254, 5.0, null 
2014_11_30 15:10:41.541, walking, 0.095342435, -0.24516626, 10.20164, 0.09601546, -0.23708376, 9.803313, 0.026567668, -0.008082494, 0.41194725, 0.0076358155, -0.008552114, -0.002443461, 100.0, 24.119999, 21.359999, 53.64, -0.80566174, 0.024178172, -0.009793871, 5.0, null 
